,hotel_id,datum_dolaska,datum_kreiranja_rezervacije,datum_odjave,datum_otkazivanja_rezervacije,broj_odraslih_gostiju,broj_djece_gostiju,zemlja_gosta,kanal_prodaje_id,tip_sobe_id,cijena_nocenja,status_rezervacije,rezervacija_id,gost_id,broj_nocenja,ukupno_placeno
10,0,2015-07-01,2015-04-17,2015-07-05,2015-06-23,2,0.0,PRT,2,3,142.6358142420965,Canceled,1313233,1020092,4.0,570.543256968386
27,0,2015-07-01,2015-01-04,2015-07-08,2015-05-11,2,0.0,PRT,2,3,113.27703225545376,Canceled,1313250,1018277,7.0,792.9392257881764
32,0,2015-07-01,2015-01-01,2015-07-11,2015-05-29,2,0.0,PRT,0,3,105.41636252891395,Canceled,1313255,1035627,10.0,1054.1636252891394
34,0,2015-07-02,2015-03-01,2015-07-06,2015-05-19,3,0.0,PRT,2,2,129.04241259256716,Canceled,1313257,1095137,4.0,516.1696503702686
35,0,2015-07-02,2015-04-18,2015-07-06,2015-06-19,3,0.0,PRT,2,2,107.14029561557732,Canceled,1313258,1048826,4.0,428.56118246230926
38,0,2015-07-02,2014-11-09,2015-07-06,2015-05-23,3,0.0,PRT,2,2,86.28882074129397,Canceled,1313261,1057144,4.0,345.1552829651759
40,0,2015-07-02,2015-01-25,2015-07-07,2015-05-18,2,0.0,PRT,2,4,178.8493578730768,Canceled,1313263,1018976,5.0,894.246789365384
45,0,2015-07-02,2015-05-24,2015-07-09,2015-06-02,2,2.0,PRT,2,4,129.19054300813062,Canceled,1313268,1041988,7.0,904.3338010569144
64,0,2015-07-02,2015-03-22,2015-07-05,2015-06-29,2,0.0,PRT,2,1,171.0439398421149,Canceled,1313287,1003147,3.0,513.1318195263447
69,0,2015-07-03,2014-10-02,2015-07-05,2015-06-18,2,0.0,PRT,2,1,88.74360960552119,Canceled,1313292,1079989,2.0,177.48721921104237
70,0,2015-07-03,2014-12-24,2015-07-05,2015-07-03,2,0.0,PRT,2,2,107.00512761399173,Canceled,1313293,1035965,2.0,214.01025522798346
71,0,2015-07-03,2014-11-23,2015-07-05,2015-06-12,2,0.0,PRT,2,1,107.29626284960722,Canceled,1313294,1098586,2.0,214.59252569921443
74,0,2015-07-03,2015-01-31,2015-07-05,2015-06-09,3,0.0,PRT,2,1,177.95921502880358,Canceled,1313297,1057137,2.0,355.91843005760717
76,0,2015-07-03,2015-02-09,2015-07-06,2015-05-26,2,0.0,PRT,2,3,290.2452973934798,Canceled,1313299,1028121,3.0,870.7358921804394
81,0,2015-07-03,2015-04-26,2015-07-13,2015-05-19,2,0.0,PRT,2,1,48.17513220119264,Canceled,1313304,1102652,10.0,481.7513220119264
83,0,2015-07-03,2015-06-02,2015-07-13,2015-06-09,2,0.0,PRT,0,1,134.8196032590179,Canceled,1313306,1085120,10.0,1348.196032590179
87,0,2015-07-03,2014-09-26,2015-07-24,2015-04-15,2,1.0,PRT,2,1,175.16606565231135,Canceled,1313310,1012241,21.0,3678.487378698538
94,0,2015-07-03,2015-03-24,2015-07-05,2015-05-26,2,0.0,PRT,2,1,124.33163267342276,Canceled,1313317,1071727,2.0,248.66326534684552
95,0,2015-07-03,2015-06-21,2015-07-05,2015-06-29,2,0.0,PRT,2,1,74.28101970131675,Canceled,1313318,1037948,2.0,148.5620394026335
96,0,2015-07-03,2014-09-18,2015-07-10,2015-05-13,2,0.0,PRT,2,5,198.88806071875865,Canceled,1313319,1061152,7.0,1392.2164250313106
105,0,2015-07-04,2014-12-28,2015-07-11,2015-06-09,2,2.0,PRT,2,6,159.06179325552517,Canceled,1313328,1014268,7.0,1113.4325527886763
106,0,2015-07-04,2014-11-08,2015-07-11,2015-05-20,3,0.0,PRT,0,2,74.79050953192184,Canceled,1313329,1005361,7.0,523.5335667234529
107,0,2015-07-04,2015-04-01,2015-07-11,2015-04-22,2,0.0,PRT,2,1,144.1862229458832,Canceled,1313330,1009691,7.0,1009.3035606211824
121,0,2015-07-04,2014-10-14,2015-07-05,2015-05-29,1,0.0,PRT,2,1,115.27596850725982,Canceled,1313344,1052768,1.0,115.27596850725982
122,0,2015-07-04,2015-02-22,2015-07-05,2015-07-04,1,0.0,PRT,0,3,153.39015813511034,No-Show,1313345,1084007,1.0,153.39015813511034
123,0,2015-07-04,2015-02-17,2015-07-05,2015-05-13,2,0.0,PRT,2,1,79.04778536290108,Canceled,1313346,1021296,1.0,79.04778536290108
124,0,2015-07-04,2015-04-04,2015-07-05,2015-06-16,2,0.0,PRT,2,2,88.094476324986,Canceled,1313347,1032966,1.0,88.094476324986
132,0,2015-07-05,2014-10-11,2015-07-06,2015-07-01,2,0.0,PRT,2,2,137.73037701782965,Canceled,1313355,1036398,1.0,137.73037701782965
138,0,2015-07-05,2015-01-27,2015-07-06,2015-07-01,2,0.0,PRT,2,2,181.4508902526701,Canceled,1313361,1045736,1.0,181.4508902526701
148,0,2015-07-05,2014-12-18,2015-07-11,2015-06-17,2,2.0,PRT,2,6,225.14064707367802,Canceled,1313371,1044382,6.0,1350.8438824420682
149,0,2015-07-05,2015-01-26,2015-07-12,2015-05-01,2,0.0,PRT,2,2,108.1399999401527,Canceled,1313372,1093005,7.0,756.9799995810689
173,0,2015-07-06,2014-04-09,2015-07-10,2015-06-03,2,0.0,PRT,2,3,191.18270129005833,Canceled,1313396,1060290,4.0,764.7308051602333
181,0,2015-07-06,2015-01-09,2015-07-13,2015-06-26,1,0.0,PRT,2,1,63.33040797478564,Canceled,1313404,1048985,7.0,443.3128558234995
184,0,2015-07-06,2014-12-06,2015-07-16,2015-05-14,2,0.0,PRT,2,2,106.03386675065123,Canceled,1313407,1080671,10.0,1060.3386675065124
193,0,2015-07-07,2015-01-01,2015-07-09,2015-05-07,2,0.0,PRT,2,1,73.53644264715068,Canceled,1313416,1034813,2.0,147.07288529430136
206,0,2015-07-07,2015-01-23,2015-07-14,2015-04-13,2,0.0,PRT,2,3,191.90131582979222,Canceled,1313429,1035215,7.0,1343.3092108085457
208,0,2015-07-07,2015-03-17,2015-07-14,2015-03-25,2,0.0,PRT,2,1,61.38219290528201,Canceled,1313431,1089330,7.0,429.6753503369741
213,0,2015-07-08,2014-07-11,2015-07-12,2015-05-28,2,0.0,PRT,2,1,250.55987503242517,Canceled,1313436,1036936,4.0,1002.2395001297007
216,0,2015-07-08,2015-01-06,2015-07-12,2015-06-29,2,0.0,PRT,2,1,139.43201483251025,Canceled,1313439,1092151,4.0,557.728059330041
218,0,2015-07-08,2015-07-08,2015-07-09,2015-07-08,2,0.0,PRT,1,1,148.27956338262,Canceled,1313441,1010879,1.0,148.27956338262
219,0,2015-07-08,2015-04-01,2015-07-09,2015-07-08,2,0.0,PRT,1,1,135.8610144233158,Canceled,1313442,1074882,1.0,135.8610144233158
221,0,2015-07-08,2014-11-04,2015-07-13,2015-05-28,2,0.0,PRT,0,1,86.6286888530312,Canceled,1313444,1051077,5.0,433.14344426515606
234,0,2015-07-09,2014-12-07,2015-07-12,2015-06-16,2,2.0,PRT,2,0,146.05215523137392,Canceled,1313457,1004373,3.0,438.1564656941217
238,0,2015-07-09,2014-09-16,2015-07-13,2015-06-27,2,0.0,PRT,2,1,45.82886011636239,Canceled,1313461,1086140,4.0,183.31544046544957
