datum,ukupan_broj_gostiju,broj_djece_gostiju,broj_odraslih_gostiju
2016-01-01,24,6,18
2016-01-02,92,3,89
2016-01-03,98,2,96
2016-01-04,132,1,131
2016-01-05,115,1,114
2016-01-06,110,0,110
2016-01-07,125,0,125
2016-01-08,99,0,99
2016-01-09,118,1,117
2016-01-10,98,1,97
2016-01-11,104,5,99
2016-01-12,114,3,111
2016-01-13,98,3,95
2016-01-14,122,7,115
2016-01-15,139,10,129
2016-01-16,149,11,138
2016-01-17,73,3,70
2016-01-18,87,2,85
2016-01-19,104,3,101
2016-01-20,102,2,100
2016-01-21,84,1,83
2016-01-22,96,2,94
2016-01-23,133,5,128
2016-01-24,56,0,56
2016-01-25,61,0,61
2016-01-26,96,2,94
2016-01-27,73,2,71
2016-01-28,112,11,101
2016-01-29,119,9,110
2016-01-30,127,11,116
2016-01-31,70,2,68
2016-02-01,82,1,81
2016-02-02,103,3,100
2016-02-03,97,0,97
2016-02-04,134,1,133
2016-02-05,189,7,182
2016-02-06,320,19,301
2016-02-07,288,19,269
2016-02-08,275,18,257
2016-02-09,176,3,173
2016-02-10,160,2,158
2016-02-11,147,5,142
2016-02-12,256,9,247
2016-02-13,347,16,331
2016-02-14,194,17,177
2016-02-15,158,16,142
2016-02-16,183,14,169
2016-02-17,204,15,189
2016-02-18,180,14,166
2016-02-19,159,7,152
2016-02-20,176,8,168
2016-02-21,103,1,102
2016-02-22,150,2,148
2016-02-23,151,2,149
2016-02-24,157,7,150
2016-02-25,175,6,169
2016-02-26,235,9,226
2016-02-27,377,26,351
2016-02-28,333,17,316
2016-02-29,152,3,149
2016-03-01,190,3,187
2016-03-02,210,7,203
2016-03-03,184,7,177
2016-03-04,230,5,225
2016-03-05,248,4,244
2016-03-06,146,4,142
2016-03-07,209,5,204
2016-03-08,230,2,228
2016-03-09,267,2,265
2016-03-10,275,2,273
2016-03-11,316,5,311
2016-03-12,302,10,292
2016-03-13,183,12,171
2016-03-14,219,12,207
2016-03-15,234,12,222
2016-03-16,240,4,236
2016-03-17,280,9,271
2016-03-18,276,10,266
2016-03-19,356,18,338
2016-03-20,321,19,302
2016-03-21,370,25,345
2016-03-22,349,23,326
2016-03-23,317,25,292
2016-03-24,387,28,359
2016-03-25,402,27,375
2016-03-26,382,24,358
2016-03-27,233,20,213
2016-03-28,228,22,206
2016-03-29,249,27,222
2016-03-30,269,28,241
2016-03-31,326,19,307
