hotel_id,datum_dolaska,datum_kreiranja_rezervacije,datum_odjave,datum_otkazivanja_rezervacije,broj_odraslih_gostiju,broj_djece_gostiju,zemlja_gosta,kanal_prodaje_id,tip_sobe_id,cijena_nocenja,status_rezervacije,rezervacija_id,gost_id,ukupan_broj_gostiju
0,2017-01-01,2016-12-11,2017-01-02,2016-10-20,2,0,PRT,2,1,65.12148641595388,Canceled,1322991,1025624,2
0,2017-01-01,2016-11-08,2017-01-05,2016-12-04,2,0,AUT,2,1,74.50779320700823,Canceled,1322992,1004001,2
0,2017-01-01,2016-10-01,2017-01-05,2016-11-11,2,0,AUT,2,1,58.91392494666074,Canceled,1322993,1010854,2
0,2017-01-01,2016-12-31,2017-01-05,2016-12-04,2,0,AUT,2,1,61.473756780351096,Canceled,1322994,1047238,2
0,2017-01-01,2016-12-11,2017-01-05,2016-10-29,1,0,PRT,2,1,51.57398471271739,Canceled,1322995,1023679,1
0,2017-01-01,2016-12-30,2017-01-06,2016-11-20,2,0,ITA,2,1,136.7162189704208,Canceled,1322996,1034732,2
0,2017-01-01,2016-12-30,2017-01-08,2016-07-13,2,0,BEL,2,1,137.06097519123242,Canceled,1322997,1061007,2
0,2017-01-01,2016-12-30,2017-01-08,2016-07-17,2,0,GBR,2,1,60.7325264382353,Canceled,1322998,1061735,2
0,2017-01-01,2016-02-21,2017-01-08,2016-11-11,1,0,DEU,2,1,50.3789404778671,Canceled,1322999,1045641,1
0,2017-01-01,2016-08-02,2017-01-15,2016-12-07,1,0,PRT,2,1,54.89116588916145,Canceled,1323000,1085831,1
0,2017-01-02,2017-01-02,2017-01-03,2016-12-17,2,0,PRT,2,1,65.2269669668189,Canceled,1323001,1043863,2
0,2017-01-02,2016-12-16,2017-01-03,2016-12-17,2,0,PRT,2,1,134.72007102357895,Canceled,1323002,1082567,2
0,2017-01-02,2016-10-20,2017-01-04,2016-12-24,2,0,BRA,0,1,127.29870241735748,Canceled,1323003,1023606,2
0,2017-01-02,2016-12-29,2017-01-06,2017-01-02,2,0,GBR,2,2,97.78894322020122,No-Show,1323004,1041628,2
0,2017-01-02,2016-10-22,2017-01-06,2016-10-19,2,0,IRL,2,3,77.47613463633333,Canceled,1323005,1007995,2
0,2017-01-02,2016-12-08,2017-01-06,2016-12-12,2,0,BRA,2,1,80.69351616419155,Canceled,1323006,1085350,2
0,2017-01-02,2017-01-02,2017-01-06,2016-10-05,2,0,GBR,2,3,113.15185063863323,Canceled,1323007,1089151,2
0,2017-01-02,2016-11-21,2017-01-07,2016-12-05,2,0,PRT,0,1,70.62622717319397,Canceled,1323008,1013192,2
0,2017-01-02,2016-11-28,2017-01-07,2016-12-07,2,2,ESP,2,4,109.33349825413296,Canceled,1323009,1079612,4
0,2017-01-02,2016-07-15,2017-01-07,2016-11-20,2,0,PRT,2,1,121.89721981177284,Canceled,1323010,1045762,2
0,2017-01-02,2016-12-17,2017-01-08,2016-12-19,2,2,FRA,2,4,65.45470567279592,Canceled,1323011,1094105,4
0,2017-01-02,2016-12-01,2017-01-08,2016-10-26,2,0,PRT,2,4,116.08631710212552,Canceled,1323012,1067558,2
0,2017-01-02,2017-01-02,2017-01-12,2016-12-22,2,0,GBR,2,1,135.09279346790845,Canceled,1323013,1004395,2
0,2017-01-03,2016-12-30,2017-01-05,2016-12-11,2,0,ESP,2,2,81.96534963940286,Canceled,1323014,1010773,2
0,2017-01-03,2016-12-23,2017-01-06,2016-12-23,2,1,BRA,0,4,122.60507332792656,Canceled,1323015,1019949,3
0,2017-01-03,2016-11-27,2017-01-07,2016-12-21,3,0,AUS,2,3,78.94213581568914,Canceled,1323016,1073531,3
0,2017-01-03,2016-11-29,2017-01-07,2016-12-21,2,1,AUS,2,6,100.29433623301313,Canceled,1323017,1031219,3
0,2017-01-03,2016-12-26,2017-01-08,2016-11-05,2,2,ITA,2,4,50.975292639860335,Canceled,1323018,1022480,4
0,2017-01-03,2015-07-26,2017-01-10,2016-11-20,2,0,LUX,2,1,47.77357635151126,Canceled,1323019,1023783,2
0,2017-01-03,2016-12-31,2017-01-10,2016-11-21,2,0,CHE,2,1,84.13488259313877,Canceled,1323020,1015376,2
0,2017-01-04,2016-12-28,2017-01-05,2017-01-03,1,0,PRT,0,1,63.27970615704511,Canceled,1323021,1101855,1
0,2017-01-04,2016-12-30,2017-01-07,2016-12-13,2,0,GBR,2,1,138.04624049888304,Canceled,1323022,1060015,2
0,2017-01-04,2016-12-28,2017-01-09,2016-11-22,2,0,BRA,2,1,54.48096585908404,Canceled,1323023,1106505,2
0,2017-01-04,2016-12-20,2017-01-09,2016-11-22,1,0,BRA,2,1,41.752737279153855,Canceled,1323024,1048801,1
0,2017-01-04,2016-11-14,2017-01-10,2017-01-04,2,0,PRT,2,2,58.3863007909498,No-Show,1323025,1016524,2
0,2017-01-04,2016-12-30,2017-01-11,2016-11-08,2,0,GBR,2,1,126.55745800560692,Canceled,1323026,1017698,2
0,2017-01-04,2016-10-11,2017-01-14,2016-10-31,3,1,ARG,2,6,113.48766485850814,Canceled,1323027,1105332,4
0,2017-01-05,2016-09-07,2017-01-08,2016-12-19,2,0,PRT,2,1,58.971503174475295,Canceled,1323028,1048720,2
0,2017-01-05,2016-12-28,2017-01-08,2017-01-01,2,0,ESP,2,1,48.253410123333545,Canceled,1323029,1048568,2
0,2017-01-05,2016-08-25,2017-01-10,2016-11-03,2,0,GBR,2,3,154.83792204958257,Canceled,1323030,1008188,2
0,2017-01-05,2016-11-19,2017-01-12,2016-07-03,1,0,EST,2,2,51.8657849419884,Canceled,1323031,1088579,1
0,2017-01-06,2016-11-13,2017-01-08,2016-12-26,2,0,PRT,2,1,82.63053729161658,Canceled,1323032,1059840,2
0,2017-01-06,2016-10-27,2017-01-08,2016-12-26,2,0,PRT,2,1,79.4668878320646,Canceled,1323033,1103878,2
0,2017-01-06,2016-12-24,2017-01-11,2017-01-06,1,0,NGA,2,1,114.51594929860543,No-Show,1323034,1081653,1
0,2017-01-06,2016-11-27,2017-01-14,2016-12-05,2,0,GBR,2,2,90.9965610892663,Canceled,1323035,1070655,2
0,2017-01-06,2017-01-01,2017-01-20,2016-12-28,2,0,GBR,0,1,51.92401149154448,Canceled,1323036,1084605,2
0,2017-01-07,2016-12-30,2017-01-08,2016-12-23,2,0,ESP,2,2,74.99883438241353,Canceled,1323037,1002416,2
0,2017-01-07,2017-01-06,2017-01-08,2016-12-26,2,0,PRT,2,2,73.45093407734717,Canceled,1323038,1083960,2
0,2017-01-07,2016-12-27,2017-01-09,2016-10-22,2,0,BRA,2,2,94.4343550309336,Canceled,1323039,1063199,2
0,2017-01-07,2016-12-26,2017-01-10,2016-12-20,2,0,IRL,2,1,67.29726232859053,Canceled,1323040,1019721,2
0,2017-01-07,2016-12-09,2017-01-10,2016-12-20,2,0,ESP,2,1,63.93571317518475,Canceled,1323041,1087010,2
