,reservation_id,stay_date,guest_id,guest_country_id,reservation_status,reservation_date,date_from,date_to,resort_id,cancel_date,room_cnt,adult_cnt,children_cnt,price,price_tax,total_price_tax,total_price,food_price,food_price_tax,other_price,other_price_tax,room_category_id,sales_channel_id,stay_nights,price_per_night,guest_count,nightly_price_per_guest
0,73710,2007-12-13,22897,HR,Checked-out,2007-11-28,2007-12-13,2007-12-15,1,,1,1,0,4255.462,425.517,452.089,4564.69,265.428,26.572,43.8,0.0,3,10.0,2.0,2127.731,1,2127.731
2,74464,2008-01-01,106278,HR,Checked-out,2007-12-29,2008-01-01,2008-01-02,1,,1,2,0,4336.857,433.693,3806.147,19764.823,530.929,53.071,14897.037,3319.383,4,4.0,1.0,4336.857,2,2168.4285
6,74470,2008-01-01,38936,GB,Checked-out,2007-12-29,2008-01-01,2008-01-02,1,,1,3,0,8536.766,853.662,1012.948,10392.28,1592.714,159.286,262.8,0.0,4,3.0,1.0,8536.766,3,2845.5886666666665
7,74460,2008-01-01,38936,GB,Checked-out,2007-12-29,2008-01-01,2008-01-02,1,,1,3,0,8536.766,853.662,1012.948,10392.28,1592.714,159.286,262.8,0.0,5,3.0,1.0,8536.766,3,2845.5886666666665
8,74493,2008-01-01,106460,HR,Checked-out,2008-01-01,2008-01-01,2008-01-02,1,,1,2,0,3996.239,399.602,650.138,5512.303,530.929,53.071,985.135,197.465,4,4.0,1.0,3996.239,2,1998.1195
9,74495,2008-01-01,106471,AUT,Checked-out,2008-01-01,2008-01-01,2008-01-02,1,,1,2,0,4336.857,433.693,3008.622,16398.428,530.929,53.071,11530.642,2521.858,7,3.0,1.0,4336.857,2,2168.4285
10,74312,2008-01-01,106102,HR,Checked-out,2007-12-18,2008-01-01,2008-01-02,1,,1,2,0,4336.857,433.693,3837.975,20016.965,530.929,53.071,15149.179,3351.211,5,4.0,1.0,4336.857,2,2168.4285
11,74482,2008-01-01,48372,HR,Checked-out,2007-12-31,2008-01-01,2008-01-04,1,,1,2,0,6283.986,628.384,681.455,6902.515,530.929,53.071,87.6,0.0,5,4.0,3.0,2094.662,2,1047.331
12,74481,2008-01-01,22375,HR,Checked-out,2007-12-31,2008-01-01,2008-01-02,1,,1,1,0,18.18,1.82,2.73,33.27,9.09,0.91,6.0,0.0,2,3.0,1.0,18.18,1,18.18
13,74483,2008-01-01,106445,HR,Checked-out,2007-12-31,2008-01-01,2008-01-02,1,,1,2,0,4336.857,433.693,2908.904,15965.246,530.929,53.071,11097.46,2422.14,6,4.0,1.0,4336.857,2,2168.4285
14,74496,2008-01-01,95285,HR,Checked-out,2008-01-01,2008-01-01,2008-01-02,1,,1,2,0,8231.115,823.075,876.146,8849.644,530.929,53.071,87.6,0.0,7,4.0,1.0,8231.115,2,4115.5575
15,74471,2008-01-01,84836,HR,Checked-out,2007-12-31,2008-01-01,2008-01-02,1,,1,2,0,1127.27,112.73,682.86,3670.14,72.73,7.27,2470.14,562.86,6,4.0,1.0,1127.27,2,563.635
16,74427,2008-01-01,106251,HR,Checked-out,2007-12-25,2008-01-01,2008-01-02,1,,1,2,0,6283.986,628.384,681.455,6902.515,530.929,53.071,87.6,0.0,6,4.0,1.0,6283.986,2,3141.993
17,74494,2008-01-01,106469,HR,Checked-out,2008-01-01,2008-01-01,2008-01-02,1,,1,2,0,1138.18,113.82,121.09,1222.91,72.73,7.27,12.0,0.0,7,4.0,1.0,1138.18,2,569.09
18,74141,2008-01-01,105985,HR,Checked-out,2007-12-13,2008-01-01,2008-01-02,1,,1,2,0,6204.343,620.427,673.498,6822.872,530.929,53.071,87.6,0.0,5,4.0,1.0,6204.343,2,3102.1715
19,74485,2008-01-01,106448,SLO,Checked-out,2008-01-01,2008-01-01,2008-01-02,1,,1,2,0,6283.986,628.384,739.344,7165.826,530.929,53.071,350.911,57.889,6,3.0,1.0,6283.986,2,3141.993
20,73617,2008-01-01,37692,HR,Checked-out,2007-11-24,2008-01-01,2008-01-02,1,,7,14,0,24633.266,2463.531,2835.028,28962.969,3716.503,371.497,613.2,0.0,6,3.0,1.0,24633.266,14,1759.519
21,74442,2008-01-02,38936,GB,Checked-out,2007-12-28,2008-01-02,2008-01-04,1,,1,2,0,3031.471,303.169,365.584,3845.056,623.785,62.415,189.8,0.0,5,3.0,2.0,1515.7355,2,757.86775
24,74500,2008-01-02,106482,I,Checked-out,2008-01-02,2008-01-02,2008-01-03,1,,1,2,0,3426.182,342.589,922.355,6452.616,623.785,62.415,2402.649,517.351,5,3.0,1.0,3426.182,2,1713.091
29,74484,2008-01-03,62982,HR,Checked-out,2008-01-01,2008-01-03,2008-01-04,1,,1,1,0,6023.96,602.396,633.567,6379.689,311.929,31.171,43.8,0.0,3,10.0,1.0,6023.96,1,6023.96
30,74361,2008-01-03,108036,HR,Checked-out,2007-12-20,2008-01-03,2008-01-05,1,,1,2,0,5955.705,595.607,658.022,6667.09,623.785,62.415,87.6,0.0,4,10.0,2.0,2977.8525,2,1488.92625
31,74507,2008-01-03,13831,HR,Checked-out,2008-01-03,2008-01-03,2008-01-05,1,,3,3,0,14270.478,1427.004,1520.517,15337.665,935.787,93.513,131.4,0.0,3,10.0,2.0,7135.239,3,2378.413
32,74525,2008-01-03,106499,I,Checked-out,2008-01-03,2008-01-03,2008-01-04,1,,1,3,0,7739.533,773.946,867.532,8806.647,935.714,93.586,131.4,0.0,6,3.0,1.0,7739.533,3,2579.8443333333335
33,74526,2008-01-03,105757,GB,Checked-out,2008-01-03,2008-01-03,2008-01-09,1,,1,1,0,6023.96,602.396,633.567,6379.689,311.929,31.171,43.8,0.0,5,3.0,6.0,1003.9933333333333,1,1003.9933333333333
