datum,ukupan_broj_gostiju,broj_djece_gostiju,broj_odraslih_gostiju,diferencirano_ukupno
2015-07-01,67,2,65,
2015-07-02,128,4,124,61.0
2015-07-03,165,5,160,37.0
2015-07-04,227,12,215,62.0
2015-07-05,253,15,238,26.0
2015-07-06,302,21,281,49.0
2015-07-07,333,28,305,31.0
2015-07-08,338,28,310,5.0
2015-07-09,365,33,332,27.0
2015-07-10,390,37,353,25.0
2015-07-11,371,27,344,-19.0
2015-07-12,383,35,348,12.0
2015-07-13,394,35,359,11.0
2015-07-14,391,33,358,-3.0
2015-07-15,401,33,368,10.0
2015-07-16,391,33,358,-10.0
2015-07-17,384,31,353,-7.0
2015-07-18,387,34,353,3.0
2015-07-19,374,34,340,-13.0
2015-07-20,393,35,358,19.0
2015-07-21,403,40,363,10.0
2015-07-22,411,42,369,8.0
2015-07-23,412,40,372,1.0
2015-07-24,407,36,371,-5.0
2015-07-25,422,41,381,15.0
2015-07-26,386,39,347,-36.0
2015-07-27,413,32,381,27.0
2015-07-28,400,29,371,-13.0
2015-07-29,408,33,375,8.0
2015-07-30,402,33,369,-6.0
2015-07-31,403,40,363,1.0
2015-08-01,397,42,355,-6.0
2015-08-02,370,36,334,-27.0
2015-08-03,402,44,358,32.0
2015-08-04,402,37,365,0.0
2015-08-05,408,37,371,6.0
2015-08-06,399,35,364,-9.0
2015-08-07,396,31,365,-3.0
2015-08-08,390,31,359,-6.0
2015-08-09,369,29,340,-21.0
2015-08-10,406,39,367,37.0
2015-08-11,417,51,366,11.0
2015-08-12,400,47,353,-17.0
2015-08-13,408,49,359,8.0
2015-08-14,418,51,367,10.0
2015-08-15,406,38,368,-12.0
2015-08-16,376,30,346,-30.0
2015-08-17,402,36,366,26.0
2015-08-18,416,48,368,14.0
2015-08-19,425,50,375,9.0
2015-08-20,432,50,382,7.0
2015-08-21,414,44,370,-18.0
2015-08-22,424,47,377,10.0
2015-08-23,422,57,365,-2.0
2015-08-24,430,58,372,8.0
2015-08-25,426,55,371,-4.0
2015-08-26,419,51,368,-7.0
2015-08-27,416,47,369,-3.0
2015-08-28,415,44,371,-1.0
2015-08-29,399,30,369,-16.0
2015-08-30,356,23,333,-43.0
2015-08-31,356,23,333,0.0
2015-09-01,391,25,366,35.0
2015-09-02,399,31,368,8.0
2015-09-03,387,27,360,-12.0
2015-09-04,372,25,347,-15.0
2015-09-05,361,17,344,-11.0
2015-09-06,361,17,344,0.0
2015-09-07,369,17,352,8.0
